OZONE F & L Trading Co. Ltd,,,,,,
Stock Status,,,,,,
From 2-2-2021 to 2-2-2021,,,,,,
All Items,All MC,,,,,
Item Details,Item Name,Qty. Out,Avg. Price,Amt. Out,Cl. Qty,Price
1,Star Can33cl,0,0,0,1,"2,800.00"
2,AmstL Can33cl,190,"3,110.20","590,938.00","3,252","2,950.11"
3,MTN Can33cl,169,"3,102.15","524,263.30","1,360","2,954.55"
4,MTN Pet33CL,351,"1,328.53","466,315.50","3,777","1,297.81"
5,HKN 33cl Sleek,797,"4,441.44","3,539,829.00",418,"3,800.00"
9,Ace Root 20cl,2,"4,790.40","9,580.80",274,"4,649.00"
10,Desperados,2,"4,890.20","9,780.40",36,"4,750.00"
14,Goldberg 24X50cl,11,"4,300.00","47,300.00",433,"3,555.00"
16,HKN Can33cl,0,0,0,-5,"3,760.00"
17,AmstL Slk33cl,67,"3,125.08","209,380.40",330,"3,039.00"
22,Climax 33cl Sleek,0,0,0,98,"4,749.88"
27,Dubic Can33cl,204,"2,693.92","549,558.68",724,"2,598.97"
28,Dubic Pet33cl,0,0,0,1,952.17
29,GMalt Can33cl,"1,523","3,143.53","4,787,591.26",151,625.89
30,GMalt Pet33cl,13,"1,299.70","16,896.14",806,"1,222.33"
31,GMalt Bot. 33cl,0,0,0,66,"2,690.00"
32,GStout Can33cl,17,"5,189.60","88,223.20",163,"4,975.16"
34,GStout 33cl.Bot,12,"4,391.20","52,694.40",843,"4,391.00"
35,G/S Smooth,2,"4,041.90","8,083.80",885,"4,206.06"
37,Orjn Bot75cl,2,"4,990.00","9,980.00","1,549","4,805.00"
39,OrjnZro Can33cl,3,"2,894.20","8,682.60",394,"2,780.00"
40,OrjnZro Pet33cl,1,"1,247.50","1,247.50",81,"1,163.30"
43,Orijin Herbal Gin,0,0,0,4,"5,850.00"
44,Orjn H.Gin20cl,0,0,0,10,"5,290.00"
47,Smirnoff Ice,20,"5,082.32","101,646.30",843,"4,780.00"
68,1960B Pet20cl,5,"2,694.60","13,473.00","1,134","2,595.92"
69,1960B Bot75cl,9,"5,333.76","48,003.80",552,"5,166.01"
70,Four Horses,0,0,0,276,"4,067.31"
71,Four Cousins75cl,0,0,0,391,"20,269.28"
72,John.B,0,0,0,41,"35,500.00"
74,P Horse 25cl,53,"8,582.80","454,888.40",61,"8,461.54"
76,Red Bull,19,"9,481.00","180,139.00",244,"9,202.75"
94,GStout 60cl.Bot,0,0,0,322,"3,472.00"
105,AmstL Pet33cl,0,0,0,3,"1,300.00"
145,Empty Bot GN.,0,0,0,"1,350",420
146,Empty Crate GN,0,0,0,"2,063",600
148,Orjn Sachet,0,0,0,316,"5,609.64"
158,ROX,115,"5,800.00","667,000.00",582,"5,600.00"
159,Best Gin 30ml,0,0,0,1,"5,985.00"
,Totals,"3,587",,"12,385,495.48","23,830",
