ID,Name,Cost,Selling,Stk Bal,Sales Amount ,Sellout
1,1960B Bot75cl,"6,581.25","7,000.00",24,"35,000.00",5
2,33 Can50cl,"5,654.65","5,900.00",344,"59,000.00",10
3,Amst Can33cl,"4,285.24","4,400.00","11,213","774,400.00",176
4,Amst SlkSlk33cl,"4,230.20","4,500.00","1,101","40,500.00",9
5,B Delight 75cl,"9,605.15","11,000.00",644,"132,000.00",12
6,Beta Pet33cl,"2,920.96","3,000.00",765,"150,000.00",50
7,Black L 20cl,"120,854.87","128,700.00",42,"128,700.00",1
8,Climax 33cl Slk,"6,049.81","6,400.00",416,"12,800.00",2
9,Desperados,"6,969.98","7,100.00",373,"85,200.00",12
10,Dubic Can33cl,"3,959.00","4,250.00","1,258","29,750.00",7
11,Empty Bot GN,396.63,420,"4,954","23,520.00",56
12,Empty Crate GN,600,600,"4,968","33,600.00",56
13,Fayrz Can33cl,"4,242.71","4,300.00","1,327","38,700.00",9
14,Fayrz pet33cl,"1,649.99","1,700.00",991,"141,100.00",83
15,Four Cousins75cl,"30,803.10","31,100.00","2,027","155,500.00",5
16,Gmalt Bot.33cl,"3,447.42","3,600.00",105,"68,400.00",19
17,Gmalt can33cl,"4,223.02","4,400.00","23,559","2,169,200.00",493
18,Goldberg 50cl,"5,499.23","5,900.00","2,124","371,700.00",63
19,Gstout 33cl.Bot,"6,464.64","6,650.00","1,378","13,300.00",2
20,Gstout 69cl.Bot,"4,743.20","5,352.00",501,"214,080.00",40
21,Gstout can33cl,"7,256.57","7,450.00","2,484","342,700.00",46
22,HNK 3cl sleek,"5,914.88","6,054.90",534,"3,766,147.80",622
23,John. B,"52,260.00","54,000.00",3,"108,000.00",2
24,Kings Gin 20cl,"6,825.00","7,300.00",34,"14,600.00",2
25,Kjngs Whiskey20cl,"8,482.00","9,000.00",9,"27,000.00",3
26,Legend 44cl,"6,390.00","6,600.00",273,"151,800.00",23
27,Leon Red 75cl,"8,775.00","9,200.00",44,"18,400.00",2
28,Life can 50cl,"5,515.00","5,900.00",35,"100,300.00",17
29,Mtn can33cl,"4,138.08","4,400.00","2,153","158,400.00",36
30,Mtn pet33cl,"1,814.84","1,850.00","3,337","418,100.00",226
31,Orjn Bot75cl,"7,491.91","7,750.00",615,"54,250.00",7
32,Orjn pet20cl,"7,614.84","8,242.86",858,"115,400.04",14
33,P Horse 25cl,"11,089.03","11,700.00",510,"46,800.00",4
34,P Horse 35cl,"13,668.61","14,600.00",393,"43,800.00",3
35,Red Bull,"11,000.00","13,300.00",623,"465,500.00",35
36,Singleton 79cl,"87,467.93","92,000.00",156,"184,000.00",2
37,SminffDB,"7,307.34","8,000.00",141,"40,000.00",5
38,SmirBot 33cl,"5,674.88","5,750.00",848,"28,750.00",5
39,Smirnoff ice,"7,477.85","8,000.00","2,403","48,000.00",6
40,Tiger 44can,"5,850.00","6,000.00",346,"24,000.00",4
41,Trophy can50cl,"5,122.25","5,292.63","5,992","5,885,404.56","1,112"
