OZONE F & L Trading Co. Ltd,,,,,,
Stock Status,,,,,,
From 13-2-2023 to 13-2-2023,,,,,,
All Items,All MC,,,,,
Product code,Item name,Sellout,Selling Price,Sales Amount ,Closing Balance,Cost Price
2,AmstL Can33cl,64,"4,589.57","293,732.20","7,673","4,478.92"
3,MTN Can33cl,23,"4,588.05","105,525.20","1,709","4,564.95"
4,MTN Pet33CL,40,"1,946.10","77,844.00",124,"1,890.00"
5,HKN 33cl Sleek,56,"6,381.54","357,366.00",524,"6,070.00"
8,33 Can50cl,17,"6,276.39","106,698.60",102,"6,225.00"
10,Desperados,19,"7,485.00","142,215.00",428,"7,340.00"
14,Goldberg 24X50cl,150,"6,274.09","941,113.20",810,"6,225.00"
22,Climax 33cl Sleek,2,"6,387.20","12,774.40",45,"6,093.56"
24,Fayrz Pet33cl,0,0,0,3,"1,815.00"
27,Dubic Can33cl,4,"4,441.10","17,764.40","1,201","4,339.50"
29,GMalt Can33cl,"5,434","4,583.58","24,907,181.68","8,081","4,414.38"
31,GMalt Bot. 33cl,23,"4,091.80","94,111.40",101,"3,454.70"
32,GStout Can33cl,42,"7,784.40","326,944.80","1,700","7,628.21"
33,Empty Green Bot,3,240,720,508,240
34,GStout 33cl.Bot,61,"7,285.40","444,409.40",990,"7,200.00"
36,Orjn Pet20cl,39,"8,192.01","319,488.40","1,407","8,090.95"
37,Orjn Bot75cl,1,"7,734.50","7,734.50",625,"7,713.66"
38,OrjnRTD Can33cl,3,"6,453.73","19,361.20",901,"6,345.90"
42,Orjn RTD Bot60cl,10,"3,193.60","31,936.00",319,"3,184.74"
44,Orjn H.Gin20cl,0,0,0,36,"6,416.10"
45,Orjn H.Gin75cl,0,0,0,220,"7,044.04"
47,Smirnoff Ice,13,"8,031.44","104,408.76","1,361","7,709.81"
48,SmnFF X1 Choco-18cl,0,0,0,260,"20,622.99"
50,SminffDB,3,"8,050.53","24,151.60",713,"8,004.76"
54,Smnff X1 Choco 75cl,0,0,0,255,"19,071.64"
55,Gordons GMC 18cl,0,0,0,148,"20,690.04"
56,Gordons GMC 75cl,0,0,0,235,"18,715.60"
57,MrDowell 18cl,0,0,0,132,"22,165.25"
59,MrDowell-75cl,1,"19,960.00","19,960.00",72,"19,111.00"
60,Trphy Can50cl,68,"5,991.18","407,400.00","3,416","5,172.68"
68,1960B Pet20cl,0,0,0,119,"7,995.00"
69,1960B Bot75cl,10,"7,734.50","77,345.00",217,"7,702.50"
70,Four Horses,0,0,0,84,"7,180.25"
71,Four Cousins75cl,1,"37,425.00","37,425.00","1,009","30,803.23"
72,John.B,1,"59,880.00","59,880.00",19,"58,500.00"
73,Blush 75cl,0,0,0,679,"19,200.00"
74,P Horse 25cl,0,0,0,258,"11,502.25"
75,P Horse 35cl,0,0,0,237,"14,291.99"
76,Red Bull,53,"18,048.74","956,583.00",829,"12,997.58"
83,Red Label70cl,0,0,0,228,"58,133.05"
85,Orjn Tigr&Gin 60cl,1,"2,994.00","2,994.00",96,"2,898.20"
87,Black L 20cl,0,0,0,23,"121,083.86"
88,Black L 70cl,0,0,0,44,"133,977.30"
89,Baileys ORG 70cl,0,0,0,58,"71,719.86"
92,SmirBot 33cl,54,"5,730.18","309,429.90",981,"5,674.96"
93,GStout 45cl.Bot,10,"6,586.80","65,868.00",573,"6,494.75"
94,GStout 60cl.Bot,7,"5,638.70","39,470.90",421,"5,190.21"
95,G/Smooth Bot.45cl,60,"6,569.34","394,160.10",317,"6,372.34"
100,White Label 70cl,0,0,0,269,"40,037.17"
103,SmirBot 60cl,24,"4,391.20","105,388.80",389,"4,380.99"
104,Las Damier,0,0,0,81,"24,750.00"
106,Singleton 70cl,0,0,0,55,"87,467.61"
111,Capt. Morgan,3,"17,465.00","52,395.00",14,"16,683.57"
145,Empty Bot GN.,201,419.77,"84,373.80","5,068",418.29
146,Empty Crate GN,343,600,"205,800.00","6,775",600
147,Ken Gin,0,0,0,20,"32,711.25"
151,SmirDB Bot 33cl,12,"5,663.65","67,963.80",356,"5,675.00"
153,Kings Gin 20cl,0,0,0,26,"6,825.00"
154,Kings Whiskey 20cl,0,0,0,53,"8,700.00"
155,Leon Red 75cl,0,0,0,108,"9,000.00"
156,Gordons Berry 75cl,0,0,0,104,"23,693.75"
157,Gordons Orange75cl,0,0,0,77,"23,696.49"
160,Zagg Pet50cl,0,0,0,55,"2,350.00"
161,Leon  Rose75cl,0,0,0,39,"9,000.00"
162,Leon White 75cl,0,0,0,45,"9,000.00"
163,Kings Cream 20cl,0,0,0,20,"15,400.00"
164,Kings Gin75cl,0,0,0,33,"9,100.00"
165,Kings Whiskey75cl,2,"10,778.40","21,556.80",46,"10,600.00"
166,Black & White 75cl,0,0,0,10,"46,483.36"
,Totals,"6,858",,"31,243,474.84","53,934",
